,target,text
4383,ham,Thanks honey but still haven't heard anything I will leave it a bit longer so not 2 crowd him and will try later - great advice thanks hope cardiff is still there!
3403,ham,Then Ì_ ask dad to pick Ì_ up lar... ÌÏ wan 2 stay until 6 meh...
3710,ham,"Sorry pa, i dont knw who ru pa?"
1643,ham,U WILL SWITCH YOUR FONE ON DAMMIT!!
1055,ham,I'm at work. Please call
1817,ham,Well i will watch shrek in 3D!!B)
2780,ham,Long after I quit. I get on only like 5 minutes a day as it is.
290,ham,Hey you told your name to gautham ah?
2972,ham,Happy New Year Princess!
319,ham,"Coffee cake, i guess..."
1467,ham,I wont touch you with out your permission.
1335,ham,"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)"
1419,ham,"\Speak only when you feel your words are better than the silence...\"" Gud mrng:-)"""
3548,ham,"I got like $ &lt;#&gt; , I can get some more later though. Get whatever you feel like"
4388,ham,"K I'm ready,  &lt;#&gt; ?"
5156,ham,"Sir, I need Velusamy sir's date of birth and company bank facilities details."
2462,ham,"Rose needs water, season needs change, poet needs imagination..My phone needs ur sms and i need ur lovely frndship forever...."
3494,spam,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text"
5209,ham,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop"
964,ham,Are you this much buzy
553,ham,Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know
2932,ham,Yo do you know anyone  &lt;#&gt;  or otherwise able to buy liquor? Our guy flaked and right now if we don't get a hold of somebody its just 4 loko all night
2801,ham,And smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you ... *grins*
5178,spam,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!
3872,ham,"Happy or sad , one thing about past is- \Its no more\"" GOOD MORNING :-):-)."""
2841,ham,aathi..where are you dear..
1033,ham,"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!"
2231,ham,"K, wen ur free come to my home and also tel vikky i hav sent mail to him also.. Better come evening il be free today aftr 6pm..:-)"
809,ham,Ugh I don't wanna get out of bed. It's so warm.
538,ham,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
4121,ham,Doc prescribed me morphine cause the other pain meds aren't enough. Waiting for my mom to bring it. That med should kick in fast so I'm gonna try to be on later
1103,ham,Aiyah sorry lor... I watch tv watch until i forgot 2 check my phone.
346,ham,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.
3318,ham,Kay... Since we are out already 
4738,ham,We have pizza if u want
1870,ham,"Aight, I'll text you when I'm back"
696,ham,"Aight, you close by or still down around alex's place?"
4160,spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
2536,ham,You do what all you like
2650,ham,Do you like shaking your booty on the dance floor?
4808,ham,"Don't worry though, I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. Brb gonna go kill myself"
5022,ham,Anyway holla at me whenever you're around because I need an excuse to go creep on people in sarasota
544,ham,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed
1632,ham,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss
4713,ham,Oops i thk i dun haf enuff... I go check then tell Ì_..
1533,ham,Horrible bf... I now v hungry...
3295,ham,Hi there. We have now moved in2 our pub . Would be great 2 c u if u cud come up.
2384,ham,"Sorry, I'll call later"
2726,ham,No i am not having not any movies in my laptop
5128,ham,Wot about on wed nite I am 3 then but only til 9!
3328,ham,Sac will score big hundred.he is set batsman:-)
4050,ham,"Motivate Behind every darkness, there is a shining light waiting for you to find it... Behind every best friend, there is always trust and love... BSLVYL"
3307,ham,But i'm surprised she still can guess right lor...
2067,ham,Who's there say hi to our drugdealer
2402,ham,Oh oh... Wasted... Den muz chiong on sat n sun liao...
2317,ham,"Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai.........."
3559,ham,Lol I know! Hey someone did a great inpersonation of flea on the forums. I love it!
2022,spam,"U can WIN å£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription"
4323,ham,I am not having her number sir
3889,spam,"Double Mins & 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia with Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/HF8"
4527,ham,HOW ARE U? I HAVE MISSED U! I HAVENT BEEN UP 2 MUCH A BIT BORED WITH THE HOLIDAY WANT 2 GO BAK 2 COLLEGE! SAD ISNT IT?xx
15,spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
5259,ham,Can help u swoop by picking u up from wherever ur other birds r meeting if u want.
3257,ham,He fucking chickened out. He messaged me he would be late and woould buzz me and then I didn't hear a word from him
2357,ham,Okay same with me. Well thanks for the clarification
3543,ham,Lol ok ill try to send. Be warned Sprint is dead slow. You'll prolly get it tomorrow
4677,ham,It is a good thing I'm now getting the connection to bw
3803,ham,"No dude, its not fake..my frnds got money, thts y i'm reffering u..if u member wit my mail link, u vl be credited  &lt;#&gt; rs and il be getiing  &lt;#&gt; rs..i can draw my acc wen it is  &lt;#&gt; rs.."
4472,ham,S but not able to sleep.
3112,ham,"Wat time liao, where still got."
2995,ham,They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.
3484,ham,No:-)i got rumour that you going to buy apartment in chennai:-)
4536,ham,Normally i use to drink more water daily:)
84,ham,Yup next stop.
2487,ham,K ill drink.pa then what doing. I need srs model pls send it to my mail id pa.
3703,ham,Kent vale lor... ÌÏ wait 4 me there ar?
3966,spam,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a å£150 prize. To collect is easy. Just call 09061743386
2927,ham,Anything...
2101,ham,I thk 530 lor. But dunno can get tickets a not. Wat u doing now?
4253,ham,"How about clothes, jewelry, and trips?"
3535,ham,Oic cos me n my sis got no lunch today my dad went out... So dunno whether 2 eat in sch or wat...
4402,ham,Just getting back home
168,ham,Great escape. I fancy the bridge but needs her lager. See you tomo 
1173,ham,ÌÏ dun need to pick ur gf?
530,spam,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 
4022,ham,Well. Balls. Time to make calls
2576,ham,In sch but neva mind u eat 1st lor..
3689,ham,What happen dear tell me
1924,ham,Ok
4071,spam,Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821
1334,ham,"Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*"
838,spam,We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed
5210,ham,Dai i downloaded but there is only exe file which i can only run that exe after installing.
5558,ham,"Sorry, I'll call later"
4352,ham,"Fun fact: although you would think armand would eventually build up a tolerance or some shit considering how much he smokes, he gets fucked up in like 2 hits"
2347,ham,But i dint slept in afternoon.
5493,ham,I think if he rule tamilnadu..then its very tough for our people.
3820,ham,You are right though. I can't give you the space you want and need. This is really starting to become an issue. I was going to suggest setting a definite move out--if i'm still there-- after greece. But maybe you are ready and should do it now.
5549,ham,"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs"
426,ham,aathi..where are you dear..
3366,ham,Hey what are you doing. Y no reply pa..
4999,ham,Well its not like you actually called someone a punto. That woulda been worse.
418,ham,"Alright, I'll head out in a few minutes, text me where to meet you"
4892,ham,Send me the new number
3074,ham,Take us out shopping and Mark will distract Isaiah.=D
5250,spam,Urgent! Please call 09061213237 from a landline. å£5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+
2527,ham,"Mmmmm ... I loved waking to your words this morning ! I miss you too, my Love. I hope your day goes well and you are happy. I wait for us to be together again"
2210,ham,Just wanted to say holy shit you guys weren't kidding about this bud
4623,ham,Jus finish blowing my hair. U finish dinner already?
2795,ham,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;
373,ham,I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay
3660,ham,Well then you have a great weekend!
1199,ham,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;
4427,ham,Aiyar dun disturb u liao... Thk u have lots 2 do aft ur cupboard come...
5498,ham,Why did I wake up on my own &gt;:(
2312,spam,"tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith.."
5125,ham,"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao..."
3933,ham,How come guoyang go n tell her? Then u told her?
1049,spam,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.
3979,spam,ringtoneking 84484
3455,ham,Ok. I.ll do you right later.
132,ham,First answer my question.
468,ham,"Yup, no need. I'll jus wait 4 e rain 2 stop."
5263,ham,Pls speak with me. I wont ask anything other then you friendship.
80,ham,"Sorry, I'll call later"
1219,ham,"True. It is passable. And if you get a high score and apply for phd, you get 5years of salary. So it makes life easier."
2488,ham,Aiyah e rain like quite big leh. If drizzling i can at least run home.
5415,ham,You should get more chicken broth if you want ramen unless there's some I don't know about
2663,spam,8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+
297,ham,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
4602,ham,And I don't plan on staying the night but I prolly won't be back til late
1094,ham,Now only i reached home. . . I am very tired now. . I will come tomorro
3468,ham,All day working day:)except saturday and sunday..
577,ham,ÌÏ wait 4 me in sch i finish ard 5..
5164,spam,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p"
1261,ham,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy!"
1879,spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594
3433,ham,Sending you greetings of joy and happiness. Do have a gr8 evening
4883,ham,For many things its an antibiotic and it can be used for chest abdomen and gynae infections even bone infections.
2714,ham,I am thinking of going down to reg for pract lessons.. Flung my advance.. Haha wat time u going?
1410,ham,Pls speak to that customer machan.
3570,ham,But you dint in touch with me.
3158,ham,Are you up for the challenge? I know i am :)
1504,ham,Oh my God. I'm almost home
5444,ham,Good morning. At the repair shop--the ONLY reason i'm up at this hour.
167,ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
1837,ham,And how's your husband.
5406,ham,Dear are you angry i was busy dear
4920,ham,"Its so common hearin How r u? Wat r u doing? How was ur day? So let me ask u something different. Did u smile today? If not, do it now.... Gud evng."
1557,ham,Wat r u doing?
5204,ham,How come she can get it? Should b quite diff to guess rite...
764,ham,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance.."""
5031,ham,Ok i vl..do u know i got adsense approved..
422,ham,Siva is in hostel aha:-.
1022,ham,We still on for tonight?
4369,spam,Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM
3199,ham,Just curious because my cuz asked what I was up to
1779,spam,"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
1412,ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
4184,ham,I'm good. Have you registered to vote?
1305,ham,Designation is software developer and may be she get chennai:)
3552,ham,Din i tell u jus now 420
4539,ham,"Urgh, coach hot, smells of chip fat! Thanks again, especially for the duvet (not a predictive text word)."
2341,ham,Tell dear what happen to you. Why you talking to me like an alian
5561,ham,Get me out of this dump heap. My mom decided to come to lowes. BORING.
5155,ham,MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY
751,spam,You have an important customer service announcement from PREMIER.
893,ham,It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.
1966,ham,What's a feathery bowa? Is that something guys have that I don't know about?
1612,spam,RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!
2746,ham,K da:)how many page you want?
584,ham,So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream
1873,spam,You have WON a guaranteed å£1000 cash or a å£2000 prize.To claim yr prize call our customer service representative on
279,ham,All done? All handed in? Celebrations in full swing yet?
135,ham,I only haf msn. It's yijue@hotmail.com
1562,ham,Dude just saw a parked car with its sunroof popped up. Sux
2905,ham,"Helloooo... Wake up..! \Sweet\"" \""morning\"" \""welcomes\"" \""You\"" \""Enjoy\"" \""This Day\"" \""with full of joy\"".. \""GUD MRNG\""."""
5127,ham,Cuz ibored. And don wanna study
1158,ham,Hey! There's veggie pizza... :/
3615,ham,"Can you please ask macho what his price range is, does he want something new or used plus it he only interfued in the blackberry bold  &lt;#&gt;  or any bb"
4601,ham,\Hey j! r u feeling any better
2364,ham,Ok then no need to tell me anything i am going to sleep good night
2858,ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!"
3043,ham,Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs
2034,ham,Is avatar supposed to have subtoitles
4376,ham,How much is torch in 9ja.
2264,ham,Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow
3197,ham,7 lor... Change 2 suntec... Wat time u coming?
1558,ham,Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side
865,spam,Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net å£1.50pm approx 3mins
747,spam,U are subscribed to the best Mobile Content Service in the UK for å£3 per 10 days until you send STOP to 82324. Helpline 08706091795
2480,spam,"Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or å£10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer"
1586,ham,There are no other charges after transfer charges and you can withdraw anyhow you like
121,ham,here is my new address -apples&pairs&all that malarky
324,ham,No problem. How are you doing?
4956,ham,I'm vivek:)i got call from your number.
1074,ham,Aight ill get on fb in a couple minutes
925,ham,"K, wait chikku..il send aftr  &lt;#&gt; mins"
877,spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. å£1.50 SP:Tyrone
4331,ham,ALSO TELL HIM I SAID HAPPY BIRTHDAY
589,ham,"I'm in a meeting, call me later at"
333,ham,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.
896,ham,Hope you are having a good week. Just checking in
2753,ham,"Derp. Which is worse, a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with"
3515,ham,"Well, I was about to give up cos they all said no they didnÛ÷t do one nighters. I persevered and found one but it is very cheap so i apologise in advance. It is just somewhere to sleep isnt it?"
1513,ham,Hows the champ just leaving glasgow!
5397,ham,That's necessarily respectful
2086,ham,Dude how do you like the buff wind.
4048,ham,Yeah that's the impression I got
5332,ham,I think steyn surely get one wicket:)
3208,ham,Havent mus ask if u can 1st wat. Of meet 4 lunch den u n him meet can already lor. Or u wan 2 go ask da ge 1st then confirm w me asap?
2789,ham,When you are big..| God will bring success.
5341,ham,And of course you should make a stink!
1505,ham,Total video converter free download type this in google search:)
4816,ham,Me too. Mark is taking forever to pick up my prescription and the pain is coming back.
5289,ham,Hey! Congrats 2u2. id luv 2 but ive had 2 go home!
534,ham,"I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day."
2775,ham,We confirm eating at esplanade?
3463,ham,My phone
2366,spam,Tone Club: Your subs has now expired 2 re-sub reply MONOC 4 monos or POLYC 4 polys 1 weekly @ 150p per week Txt STOP 2 stop This msg free Stream 0871212025016
240,ham,Tomarrow final hearing on my laptop case so i cant.
2805,ham,Can a not?
4418,ham,How have your little darlings been so far this week? Need a coffee run tomo?Can't believe it's that time of week already Û_
3886,ham,Cab is available.they pick up and drop at door steps.
2110,ham,Do we have any spare power supplies
5174,ham,Water logging in desert. Geoenvironmental implications.
5507,ham,I want to be inside you every night...
5114,ham,Argh why the fuck is nobody in town ;_;
1370,ham,Hope you are feeling great. Pls fill me in. Abiola
2059,ham,He didn't see his shadow. We get an early spring yay
3655,ham,Oh really?? Did you make it on air? What's your talent?
3247,ham,Also track down any lighters you can find
1942,ham,K...k:)why cant you come here and search job:)
2877,spam,"Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX"
4588,ham,Have you not finished work yet or something?
1934,ham,Hope you are having a great day.
5142,ham,Now that you have started dont stop. Just pray for more good ideas and anything i see that can help you guys i.ll forward you a link.
3873,ham,No. Did you multimedia message them or e-mail?
4652,ham,Lol yes. But it will add some spice to your day.
1694,ham,ÌÏ eatin later but i'm eatin wif my frens now lei... ÌÏ going home first? 
794,ham,There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?
1361,ham,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?
1666,ham,Guess who spent all last night phasing in and out of the fourth dimension
4853,ham,"Also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent."
1392,ham,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch..."
208,ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill
3077,ham,Okay but i thought you were the expert
1703,ham,Just taste fish curry :-P
2822,ham,Then u ask darren go n pick u lor... But i oso sian tmr haf 2 meet lect...
